source_id,mass,radial_velocity,teff,logg,spectral_type,mag_g,mag_bp,mag_rp,age,radius
1985128090434535634,0.829,-172.31749,6039.4863,4.419,F9V,20.35269,20.794209,19.71428,12.0,0.9303606
1985128090434535635,0.814,-233.03989,5970.353,4.467,F9V,20.626047,21.05104,20.000715,12.0,0.87227076
1985128090434535641,0.814,-109.687004,5970.353,4.467,F9V,20.979189,21.387827,20.370419,12.0,0.87227076
1985128090434535643,0.829,-76.27967,6039.4863,4.419,F9V,20.938723,21.355942,20.321215,12.0,0.9303606
1729428093069688873,1.472,160.07452,7464.488,4.319,A9V,23.368464,25.467209,21.984028,0.575,1.3697816
1729428093069688875,2.522,95.42944,4943.107,2.726,G7III,21.135117,24.170584,19.607916,0.575,11.237024
1729428093069688885,0.261,-25.996777,3475.3616,5.037,M2V,24.677656,26.631432,23.31875,1.5,0.25506526
1729428093069688886,0.686,-73.38482,4385.307,4.692,K5V,21.662783,22.877659,20.536093,1.5,0.61468315
1729428093069688888,0.9,29.595373,9862.794,8.49,DBVII,28.070522,28.660513,27.30425,1.5,0.008844053
1729428093069688892,0.319,-51.63379,3459.3938,4.981,M2.5V,25.490435,27.585878,24.102654,1.5,0.3010588
1729428093069688894,0.428,24.837534,3810.6582,4.889,K9V,23.689976,25.281715,22.424911,1.5,0.38783884
1729428093069688896,0.205,-6.431553,3303.6953,5.075,M3V,26.02481,28.122559,24.624237,1.5,0.21609828
1729428093069688901,0.345,-39.361496,3564.5112,4.965,M1.5V,25.081322,27.08996,23.706131,1.5,0.3181642
1729428093069688902,0.607,63.142765,3971.9155,4.72,K8V,23.095175,24.55481,21.870836,1.5,0.5605977
1729428093069688906,0.149,-37.38405,3155.0046,5.147,M4.5V,27.882292,30.517662,26.392982,1.5,0.1692978
1729428093069688909,0.33,-54.590828,3459.3938,4.972,M2V,27.35974,30.163164,25.857807,1.5,0.30949333
1729428093069688911,0.438,78.0799,3647.5396,4.873,M0.5V,27.488134,30.480045,25.957819,1.5,0.39870468
1729428093069688914,1.079,-1.914608,5727.9604,4.445,G2V,24.405243,26.749123,22.977087,1.5,1.0154331
1729428093069688921,1.128,-28.960255,6622.165,4.331,F4V,18.131445,18.794819,17.305788,2.5,1.1875484
1729428093069688924,0.324,-93.81588,3564.5112,4.981,M1.5V,24.628262,26.520163,23.273685,2.5,0.30244842
1729428093069688925,0.557,-62.55546,3828.2473,4.757,K9V,23.345795,25.038752,22.046406,2.5,0.51600194
1729428093069688926,0.491,-14.185192,3672.823,4.821,M0.5V,24.049341,25.654713,22.780363,2.5,0.44941887
1729428093069688927,0.461,19.314642,3614.0986,4.848,M1V,24.07873,25.932232,22.737238,2.5,0.42135808
1729428093069688932,1.363,134.745,6668.068,4.128,F4V,20.940428,22.408228,19.716743,2.5,1.6468396
1729428093069688933,0.709,17.344067,4909.0786,4.664,K1.5V,24.152744,25.900188,22.849173,2.5,0.640695
