source_id,radial_velocity,phot_g_mean_mag,teff_gspphot,logg_gspphot,bp_rp,ruwe
118636553018901248,-771.3785,15.283354,3510.4282,4.6064,2.4676666,0.9836265
3385763714902901760,-770.11615,14.569264,6530.489,4.2963,0.78116703,1.1912841
4286742644109650560,-767.35803,14.695282,5641.4863,4.0095,1.215579,1.1035526
340605204521472640,-765.46814,14.594408,6374.2427,4.2496,0.8178873,1.0061423
5859007197748879360,-765.27295,15.833123,5019.7314,3.6288,2.214735,1.2022182
6097896886432620160,-764.59894,15.804166,3326.8005,4.5986,3.0717058,1.0047102
4143946590790321280,-763.43536,15.40876,7945.9927,3.9782,1.9633198,1.0003579
6742015227748306048,-760.42847,14.997773,5223.8867,3.5268,1.4408712,1.1113496
4264163245146514304,-758.77466,13.916108,30168.002,4.3999,0.70257854,1.0928252
5813418731155528832,-758.17487,14.954991,5554.7915,4.0438,0.89140415,1.0248128
178382468684885248,-758.1633,14.990238,6690.6167,3.9868,1.8496237,1.0242273
6306255164518133504,-757.09393,15.382868,3491.0732,4.7854,2.4688187,1.0329208
6738309976641544448,-753.809,14.708712,5873.2207,4.4158,0.9363251,0.9954853
5881574502067686016,-753.56055,15.738491,4384.048,1.5228,4.5618334,1.0312359
4481654891413205632,-748.5823,14.583242,6404.1514,4.2531,0.9896889,0.9877682
5983779674111409920,-747.4415,15.048755,15012.421,4.5998,1.4189749,1.0971496
4275429872033135744,-742.3385,14.881315,6068.376,4.2044,1.1470594,1.0217797
6245719833867683072,-741.5612,14.823508,6389.4966,4.167,0.9385252,1.0701203
4043485523412935040,-739.7696,15.730738,3210.0017,0.1998,5.497076,1.1200186
4099761964507496192,-738.75574,14.2868595,7791.3384,3.9973,0.9311323,0.9835372
6016915037567888384,-736.4053,14.886789,5278.382,4.3312,1.3070431,1.0148002
4046347410361945600,-735.60986,14.333165,5538.388,4.1728,0.97490025,1.1198868
3060064971779337984,-729.68274,14.196098,6365.406,4.5695,0.7194929,1.0264218
4066199165856767616,-728.90656,15.940593,3668.3823,0.384,4.125784,0.95348585
295721799844057728,-728.174,15.838256,3003.6755,5.1157,3.3673115,1.1956298
3426682899124622080,-728.0476,14.831259,5882.924,4.2178,1.0631342,1.1656066
5972655193428701952,-727.38586,15.865127,6922.3086,3.0757,3.4258947,1.0885943
4093771378486656640,-726.62286,15.726074,6802.8545,3.1306,1.486476,1.1486043
4066362890056618112,-724.1967,15.346423,4843.435,2.6212,2.3960552,1.0457119
4097659663834543744,-723.67523,15.265137,7086.681,2.3667,2.8235369,1.2660053
3347047264790474368,-722.21936,14.767397,6037.93,4.2052,1.1383038,1.0739774
4193173689168571520,-722.10333,14.861922,5054.3105,3.5312,1.3798189,1.0786477
6731503175037828224,-721.9685,14.995828,5194.1865,3.0513,1.3493671,0.9930508
4255635020637075072,-721.0092,15.66192,3556.3396,4.8318,2.4945126,0.97411674
4058703657733296512,-719.6228,16.194077,5295.8257,2.7025,4.170429,1.1689035
117559409580951936,-718.454,14.764538,5405.3564,4.2262,1.0976772,0.9351825
5253216422951832960,-717.3373,14.880506,5406.389,3.6788,1.1822653,0.92494786
4321746249603642240,-714.34924,15.363753,6030.834,3.282,2.2855406,1.0960033
4159341304084349184,-713.451,15.386177,6066.294,3.3518,2.3408718,1.1145561
4305603151159495040,-710.0637,14.512822,8056.5107,2.6476,2.3519526,1.0494071
6252525948280547328,-709.8832,14.647023,5467.919,3.7429,1.0834417,1.0688789
4077096936653592832,-709.56244,15.1905155,5041.776,3.3665,1.6159754,1.1193336
4093519487238541952,-709.0719,15.189619,5099.8896,3.4309,1.8234673,1.0546528
6102244488540279424,-708.99774,14.631259,5590.0664,4.3832,0.8332052,1.0608441
2678510071583725184,-708.4742,14.9926405,4060.9983,4.6621,1.743228,1.0078055
4107671129595759104,-706.8508,15.57336,5869.14,3.0927,2.0295935,1.0980033
4055051835901634816,-706.7841,16.00419,3797.125,0.6896,5.2456503,0.95396894
4147105595110838528,-703.8976,15.916918,3919.6792,0.7511,4.6235733,1.0561961
3048696399504596224,-703.5339,14.635451,5900.4644,4.0802,0.90861034,1.140221
2017836972120732928,-703.46185,14.996223,15204.98,3.7036,1.8491173,0.9704584
1974262879621855104,-701.0987,15.457709,3539.6763,4.7671,2.5689354,1.0325996
4256611627468153600,-699.6836,15.488961,8413.821,3.7002,2.2956715,0.9628254
4253354358686072192,-699.5479,15.164989,5329.535,4.0955,1.5853643,0.8873646
4197449513790504192,-698.9328,15.249826,4965.4062,3.2671,1.7731495,0.97340626
2167025341193145984,-698.91974,15.43586,5697.654,2.7074,2.8805017,1.0253723
4043514656090059520,-697.9784,16.009174,5193.508,2.3908,3.8982735,0.89742905
4118649817540140672,-696.4054,15.736337,6461.7397,3.1048,2.6155796,1.1932522
