source_id,mass,radial_velocity,eccentricity,inclination,logg,teff,r_env_r_star
1985553912685395969,2.99,24.7602,0.0,0.0,4.199,11614.486,5.4289536
2028328097710866433,3.418,111.54242,0.0,0.0,4.113,12445.146,6.8102546
2204797368916770818,3.011,-16.030888,0.0,0.0,4.112,11587.773,1.8342675
1772197362370871297,3.351,-198.16937,0.66062176,-20.354038,4.066,11912.42,2.5354753
1772297366255173642,2.902,-3.5164864,0.0,0.0,4.03,10839.27,2.730228
1772497361407311885,3.252,-12.388332,0.0,0.0,4.037,11885.022,5.23253
1948847369827123206,2.602,26.499096,0.0,0.0,4.056,10115.795,1.236092
2270978090349887498,3.77,-53.087032,0.0,0.0,4.187,13645.831,2.085773
1772497366104932365,2.042,2.5566928,0.18688098,30.144867,4.165,8810.488,4.797957
2221753912552062977,2.107,-86.32984,0.0,0.0,4.166,9015.711,3.254624
1765858334105141251,2.468,-61.787846,0.0,0.0,4.033,9660.509,5.040258
2270978095047507987,2.94,-98.22521,0.84931874,20.520353,4.07,10423.174,3.9088206
1983278091253841971,2.211,-161.30934,0.0,0.0,4.132,9225.714,1.7820308
2270978098939822084,4.379,-105.6292,0.0,0.0,4.157,14962.356,4.646961
1955003913522380844,3.045,-14.265188,0.0,0.0,3.875,10592.537,4.218983
1772597369720799256,2.717,-16.085196,0.0,0.0,3.807,9440.608,5.196661
1732628094826577940,2.107,64.7978,0.0,0.0,4.166,9015.711,6.874875
2224553913535692801,3.426,-85.83985,0.0,0.0,3.896,11614.486,5.7079983
1955053915531640838,4.101,178.65997,0.0,0.0,3.811,12735.031,4.210657
1983328093263101971,2.358,-83.31736,0.0,0.0,3.999,9225.714,4.3928246
1766428091447508994,2.175,-6.4183097,0.0,0.0,4.099,9015.711,5.461012
1983328097558069295,2.787,-99.580925,0.0,0.0,3.868,9885.531,6.661874
1773047366195085315,2.042,-3.1563344,0.0,0.0,4.165,8810.488,2.757431
2213647368073510913,3.089,-63.99792,0.0,0.0,4.029,11350.108,1.9239153
1767158339369697283,2.884,-22.118696,0.7350301,78.6859,3.861,10115.795,5.06321
2214097364682014722,2.566,-96.11957,0.0,0.0,4.145,10351.422,4.122472
1732728098710880257,2.91,8.048779,0.0,0.0,4.081,11091.748,6.2248583
1767128098370748418,2.354,-6.9904594,0.74215496,58.58254,4.133,9660.509,5.2508364
2234203919070789634,2.699,-73.20928,0.0,0.0,4.156,10839.27,3.946165
1767228097960083458,2.797,-1.438849,0.0,0.0,4.039,10592.537,3.7582357
1773597362527141895,2.141,8.427309,0.0,0.0,4.066,8810.488,3.4974077
2234453916232187907,2.39,-26.716797,0.0,0.0,4.161,9885.531,5.498581
1787953913618497539,3.687,1.6474972,0.0,0.0,3.817,11885.022,4.0098295
2004108334747090949,2.963,-31.398642,0.0,0.0,4.049,11091.748,4.2275195
1946128093022257157,2.109,58.27002,0.0,0.0,4.099,8810.488,2.7205226
1954597360373858316,5.331,164.3365,0.0,0.0,3.877,15667.511,1.9563255
2004108339042058269,2.245,-47.124454,0.0,0.0,4.098,9225.714,5.9444666
2271528091379564574,2.354,79.61826,0.6502719,59.58361,4.133,9660.509,1.8855007
1955553918712807449,2.519,-48.1551,0.43944907,54.215687,4.122,10115.795,4.8466644
2271578092986171397,2.317,19.072924,0.0,0.0,4.098,9440.608,3.2368083
1769958335655706633,2.391,68.545525,0.0,0.0,4.099,9660.509,4.3210797
1946478098765578251,2.595,118.327644,0.5636327,23.882599,3.997,9885.531,3.7032075
2054153912155373576,2.696,78.70423,0.0,0.0,4.047,10351.422,3.5724554
2236103918113259521,6.089,-209.15585,0.0,0.0,3.824,16788.041,2.2733853
1769928094790975492,2.142,34.374104,0.0,0.0,4.133,9015.711,1.6182225
2174228093806313473,3.483,-37.605045,0.0,0.0,3.864,11614.486,5.067761
2174278095815573505,3.397,-25.620104,0.0,0.0,4.009,12161.86,4.192458
1770028090219560963,2.008,16.993238,0.0,0.0,4.196,8810.488,3.3192532
2054953918533730305,2.142,-12.986916,0.0,0.0,4.133,9015.711,5.130155
1770558333997023234,2.902,23.397491,0.0,0.0,4.03,10839.27,2.5696087
2176828090913652737,2.075,-13.452676,0.0,0.0,4.132,8810.488,3.413975
1956253912214274051,7.526,172.00441,0.0,0.0,4.102,20653.8,5.2381377
1956253912214274068,3.045,-41.3918,0.0,0.0,3.875,10592.537,5.439329
1948258336671531010,2.317,-16.276468,0.0,0.0,4.098,9440.608,3.6577144
2055403910713049096,2.657,10.389043,0.0,0.0,4.136,10592.537,4.013309
2234197369514098690,2.271,-86.22177,0.7306874,-87.07723,4.196,9660.509,5.6757107
1770758333444128777,3.547,25.714647,0.0,0.0,3.831,11614.486,4.944388
2234547361701429250,2.429,-81.85829,0.0,0.0,4.066,9660.509,5.251533
1738403915172413461,2.429,46.418427,0.0,0.0,4.066,9660.509,5.2989535
2198028096731348993,2.595,-26.796333,0.0,0.0,3.997,9885.531,6.4381533
1986353914903003143,2.109,-66.4011,0.0,0.0,4.099,8810.488,1.5644588
1738503919325151242,2.852,67.96101,0.0,0.0,4.062,10839.27,2.402223
1956603917689159686,2.687,-22.495659,0.0,0.0,3.932,9885.531,2.5313869
1729408338233393174,2.138,-47.209244,0.0,0.0,4.196,9225.714,5.819331
1738603918914486275,2.271,42.073395,0.0,0.0,4.196,9660.509,4.2867913
2018303910329974792,2.319,-29.01836,0.0,0.0,4.032,9225.714,4.7872696
2018303918919909384,2.142,-16.184158,0.0,0.0,4.133,9015.711,5.845794
1770878094177992708,2.696,33.456223,0.0,0.0,4.047,10351.422,1.50408
1772458337334460417,4.657,-196.21442,0.0,0.0,3.874,14288.939,4.570575
2199578098888867841,2.354,-30.122995,0.0,0.0,4.133,9660.509,4.02968
1949458333219946504,2.271,124.90059,0.0,0.0,4.196,9660.509,3.210873
1772508335048753154,2.109,8.265978,0.0,0.0,4.099,8810.488,6.3135347
2274503919197487109,2.946,64.805565,0.0,0.0,3.997,10839.27,5.23388
2058203915991646216,3.363,141.38379,0.0,0.0,4.145,12445.146,3.6411057
1986653914073661448,3.478,111.66622,0.0,0.0,4.082,12445.146,3.1639671
1986653914073661451,2.071,-31.757362,0.0,0.0,4.197,9015.711,4.315259
2242803912476196879,2.246,40.384842,0.0,0.0,4.034,9015.711,4.725367
1955897369799163916,2.107,-8.721565,0.0,0.0,4.166,9015.711,6.7644906
1772658336781565963,2.743,17.966833,0.0,0.0,4.015,10351.422,4.4098473
2058303911420231690,5.819,157.5125,0.0,0.0,4.075,17579.236,6.2952156
1986097363621511206,2.519,-54.658897,0.0,0.0,4.122,10115.795,4.2632847
2058353917724459009,5.538,187.64348,0.0,0.0,4.022,16788.041,5.8334465
2058403915438751752,2.655,-82.43649,0.0,0.0,4.08,10351.422,5.7233577
